Vendor Name,Invoice Number,Purchase Order (PO) ID,Payment Status,Discount Due Date,Asset ID,Asset Description,Acquisition Date,Depreciation Method,Useful Life (Years),Salvage Value
Harbor Freight Supplies,INV-211496,PO-24965,Partial,2020-03-19,BL-0622,Office Renovation,2020-02-03,MACRS,15,2981.32
Keystone Legal Services,INV-873774,PO-98918,Partial,2025-12-11,IT-0623,Server,2025-11-26,Sum-of-Years-Digits,10,15272.13
Greenfield Energy,INV-166292,PO-25826,Overdue,2026-09-18,FF-0624,Chair,2026-09-03,Double Declining Balance,3,11856.62
Phoenix Data Centers,INV-142675,PO-27481,Paid,2023-09-12,FF-0625,Chair,2023-08-28,MACRS,10,12156.17
Nexus Software,INV-193471,PO-95426,Scheduled,2020-10-18,EQ-0626,Generator,2020-10-08,Sum-of-Years-Digits,3,184.05
Ironclad Security,INV-572298,PO-64005,Pending,2026-11-25,VH-0627,Van,2026-10-11,Double Declining Balance,5,15248.42
Catalyst Training Group,INV-192296,PO-92207,Overdue,2026-10-14,BL-0628,Office Renovation,2026-10-04,Sum-of-Years-Digits,20,18653.64
Ironclad Security,INV-898100,PO-80742,Scheduled,2019-02-03,VH-0629,Truck,2019-01-19,Double Declining Balance,15,3654.09
BlueSky Marketing,INV-818530,PO-72182,Partial,2026-01-24,FF-0630,Desk,2026-01-09,Double Declining Balance,5,5091.2
Atlas Cloud Services,INV-363592,PO-53816,Scheduled,2026-07-17,IT-0631,Switch,2026-07-07,Units of Production,7,6126.37
TechVault Solutions,INV-639915,PO-25212,Paid,2020-03-13,BL-0632,Office Renovation,2020-03-03,Double Declining Balance,5,11220.51
Oasis Water Services,INV-341238,PO-24435,Overdue,2024-01-26,EQ-0633,Compressor,2023-12-27,Double Declining Balance,20,32873.99
Greenfield Energy,INV-607938,PO-17122,Partial,2021-10-13,VH-0634,Company Car,2021-08-29,Double Declining Balance,5,2385.82
Meridian Consulting,INV-303586,PO-92840,Overdue,2025-12-16,VH-0635,Company Car,2025-11-01,Sum-of-Years-Digits,7,4302.29
Meridian Consulting,INV-216506,PO-71018,Partial,2022-10-22,IT-0636,Switch,2022-10-07,Units of Production,15,1486.07
Atlas Cloud Services,INV-706204,PO-82450,Pending,2022-11-23,FF-0637,Chair,2022-11-08,Straight-Line,20,29884.03
Ironclad Security,INV-548906,PO-42329,Pending,2024-12-22,VH-0638,Company Car,2024-11-07,Sum-of-Years-Digits,10,3844.4
Ironclad Security,INV-146372,PO-15250,Partial,2025-07-16,BL-0639,Office Renovation,2025-07-01,MACRS,15,11978.27
TechVault Solutions,INV-685616,PO-11628,Partial,2023-11-24,EQ-0640,Generator,2023-10-10,Double Declining Balance,10,11218.9
Pinnacle Manufacturing,INV-269662,PO-70199,Scheduled,2023-02-07,VH-0641,Truck,2023-01-08,MACRS,3,18985.67
Acme Office Supplies,INV-757258,PO-70856,Paid,2024-03-23,VH-0642,Company Car,2024-02-07,Straight-Line,5,37512.17
Nexus Software,INV-831963,PO-90281,Scheduled,2026-10-30,BL-0643,Office Renovation,2026-09-30,MACRS,7,18272.47
Keystone Legal Services,INV-807424,PO-57708,Paid,2021-05-08,BL-0644,Warehouse Expansion,2021-04-28,Straight-Line,20,14257.4
Nexus Software,INV-685934,PO-18782,Scheduled,2023-03-23,BL-0645,Office Renovation,2023-02-06,Double Declining Balance,7,7366.42
Pinnacle Manufacturing,INV-888819,PO-86037,Pending,2022-10-18,BL-0646,Office Renovation,2022-10-03,Double Declining Balance,20,20225.88
Horizon Telecom,INV-490923,PO-55249,Partial,2023-01-14,BL-0647,Parking Lot,2022-12-15,Units of Production,10,4255.12
Redwood Analytics,INV-806013,PO-18601,Pending,2024-12-07,EQ-0648,CNC Machine,2024-11-27,Units of Production,10,17180.42
Summit Logistics,INV-217466,PO-29392,Partial,2020-01-09,VH-0649,Forklift,2019-11-25,Double Declining Balance,3,2179.36
Crestview Landscaping,INV-596925,PO-55442,Partial,2021-04-26,FF-0650,Conference Table,2021-04-16,Units of Production,20,27027.83
Oasis Water Services,INV-343613,PO-78107,Overdue,2026-04-04,FF-0651,Chair,2026-03-25,Units of Production,3,1134.51
Apex Janitorial,INV-927691,PO-50172,Pending,2022-12-05,EQ-0652,HVAC Unit,2022-11-05,Sum-of-Years-Digits,10,10835.79
Cornerstone IT,INV-274444,PO-91085,Pending,2024-07-06,FF-0653,Desk,2024-06-06,MACRS,5,8623.43
Evergreen Facilities,INV-432006,PO-85304,Pending,2021-01-31,VH-0654,Van,2021-01-16,Units of Production,5,1749.72
Vanguard Equipment Co,INV-255130,PO-58878,Partial,2023-03-10,VH-0655,Truck,2023-02-23,MACRS,20,16441.26
Atlas Cloud Services,INV-252446,PO-70036,Overdue,2025-01-24,IT-0656,Laptop,2024-12-25,Double Declining Balance,10,30550.36
Acme Office Supplies,INV-701596,PO-97410,Pending,2025-03-17,FF-0657,Conference Table,2025-02-15,MACRS,7,40449.27
Oasis Water Services,INV-810943,PO-82215,Paid,2024-01-15,IT-0658,Switch,2023-12-16,Sum-of-Years-Digits,10,13245.47
Acme Office Supplies,INV-772465,PO-35578,Scheduled,2023-07-19,EQ-0659,CNC Machine,2023-07-04,MACRS,3,5013.14
Cornerstone IT,INV-804179,PO-21452,Scheduled,2022-02-27,IT-0660,Laptop,2022-02-12,Units of Production,15,26071.37
Meridian Consulting,INV-799155,PO-57325,Partial,2024-07-31,BL-0661,Parking Lot,2024-07-01,Double Declining Balance,15,14473.7
Trident HVAC Systems,INV-423050,PO-68402,Scheduled,2023-11-17,EQ-0662,CNC Machine,2023-10-18,Straight-Line,3,7642.46
Meridian Consulting,INV-544420,PO-64289,Pending,2024-02-08,EQ-0663,CNC Machine,2023-12-25,MACRS,5,33702.98
Catalyst Training Group,INV-451709,PO-18665,Scheduled,2020-01-03,VH-0664,Forklift,2019-12-19,Units of Production,10,29354.48
Summit Logistics,INV-695503,PO-27947,Pending,2019-03-14,FF-0665,Conference Table,2019-01-28,Double Declining Balance,5,17444.65
Harbor Freight Supplies,INV-975126,PO-86704,Overdue,2023-05-13,BL-0666,Warehouse Expansion,2023-04-13,Units of Production,3,37603.67
Granite Construction,INV-771670,PO-93435,Partial,2024-03-28,IT-0667,Laptop,2024-03-13,Straight-Line,5,6590.87
Metro Print & Copy,INV-356639,PO-13728,Paid,2026-07-20,EQ-0668,Compressor,2026-06-20,Sum-of-Years-Digits,10,36488.17
Pacific Fleet Services,INV-758501,PO-99903,Partial,2019-10-31,BL-0669,Warehouse Expansion,2019-10-01,Straight-Line,15,20695.08
Sterling Furniture,INV-583439,PO-27759,Overdue,2024-10-10,FF-0670,Chair,2024-09-30,Double Declining Balance,15,1139.08
TechVault Solutions,INV-769983,PO-20069,Scheduled,2022-02-20,EQ-0671,CNC Machine,2022-01-21,Double Declining Balance,3,7170.35
Phoenix Data Centers,INV-431570,PO-99780,Overdue,2026-01-31,IT-0672,Router,2026-01-16,Sum-of-Years-Digits,5,14072.87
Silverline Insurance,INV-113524,PO-27950,Scheduled,2026-11-28,IT-0673,Router,2026-10-29,Sum-of-Years-Digits,15,16079.2
Sterling Furniture,INV-331854,PO-34696,Scheduled,2024-07-24,FF-0674,Chair,2024-06-09,MACRS,3,4216.38
Trident HVAC Systems,INV-118223,PO-72851,Overdue,2024-12-03,EQ-0675,HVAC Unit,2024-11-23,Sum-of-Years-Digits,3,5367.31
Trident HVAC Systems,INV-880623,PO-25544,Pending,2023-02-09,EQ-0676,CNC Machine,2023-01-25,Double Declining Balance,5,17857.54
Crestview Landscaping,INV-182423,PO-65680,Paid,2026-10-29,VH-0677,Forklift,2026-10-14,Straight-Line,5,3859.62
Acme Office Supplies,INV-638421,PO-87748,Paid,2024-07-21,IT-0678,Server,2024-06-06,Units of Production,3,1536.84
Greenfield Energy,INV-920375,PO-26225,Scheduled,2021-11-12,IT-0679,Monitor,2021-11-02,Double Declining Balance,20,520.88
Apex Janitorial,INV-390849,PO-85989,Overdue,2021-04-14,FF-0680,Desk,2021-03-30,Sum-of-Years-Digits,3,6837.44
Atlas Cloud Services,INV-900319,PO-11832,Scheduled,2024-08-27,BL-0681,Parking Lot,2024-08-12,Double Declining Balance,3,4579.22
Trident HVAC Systems,INV-628687,PO-72221,Overdue,2021-03-25,VH-0682,Truck,2021-02-23,MACRS,20,4974.11
Atlas Cloud Services,INV-338607,PO-63422,Paid,2023-12-16,VH-0683,Forklift,2023-12-06,Sum-of-Years-Digits,10,9172.94
Greenfield Energy,INV-402274,PO-83024,Paid,2024-04-02,BL-0684,Office Renovation,2024-03-23,Straight-Line,10,20871.37
Horizon Telecom,INV-820420,PO-68190,Pending,2024-07-25,EQ-0685,CNC Machine,2024-07-15,MACRS,10,25329.37
Ironclad Security,INV-288006,PO-11675,Partial,2022-05-20,VH-0686,Truck,2022-04-05,Straight-Line,10,37462.3
Nexus Software,INV-206663,PO-32114,Paid,2023-12-10,IT-0687,Server,2023-11-30,Sum-of-Years-Digits,10,16277.2
Meridian Consulting,INV-860427,PO-75419,Overdue,2022-11-03,BL-0688,Warehouse Expansion,2022-10-19,MACRS,3,10814.46
Apex Janitorial,INV-608069,PO-77032,Overdue,2022-03-09,FF-0689,Conference Table,2022-01-23,Double Declining Balance,20,30536.88
Phoenix Data Centers,INV-241147,PO-13895,Paid,2024-02-16,IT-0690,Monitor,2024-02-06,Straight-Line,10,11073.55
Harbor Freight Supplies,INV-260155,PO-49682,Scheduled,2019-11-21,IT-0691,Server,2019-10-07,MACRS,10,24147.2
Greenfield Energy,INV-629315,PO-44296,Scheduled,2019-12-25,EQ-0692,Compressor,2019-11-10,Sum-of-Years-Digits,7,21703.02
Keystone Legal Services,INV-994303,PO-59327,Partial,2025-02-02,IT-0693,Printer,2025-01-23,Units of Production,3,11877.01
TechVault Solutions,INV-615353,PO-66450,Pending,2019-05-30,BL-0694,Parking Lot,2019-05-15,Sum-of-Years-Digits,7,36236.03
Trident HVAC Systems,INV-818666,PO-80699,Scheduled,2023-06-27,IT-0695,Router,2023-05-13,Units of Production,20,19236.68
Pacific Fleet Services,INV-496149,PO-90863,Overdue,2025-05-06,BL-0696,Office Renovation,2025-04-21,Sum-of-Years-Digits,10,8637.87
Horizon Telecom,INV-948878,PO-86541,Paid,2019-09-19,BL-0697,Office Renovation,2019-09-09,Sum-of-Years-Digits,5,23080.72
Nexus Software,INV-356092,PO-42455,Pending,2020-03-19,FF-0698,Filing Cabinet,2020-02-03,Sum-of-Years-Digits,10,5413.09
Apex Janitorial,INV-441958,PO-14899,Partial,2019-12-24,FF-0699,Desk,2019-12-14,Units of Production,7,2383.37
Apex Janitorial,INV-431889,PO-59510,Scheduled,2024-11-23,FF-0700,Desk,2024-10-09,Units of Production,20,17085.33
Horizon Telecom,INV-620860,PO-75898,Overdue,2025-06-13,EQ-0701,Generator,2025-06-03,Double Declining Balance,20,14355.37
Catalyst Training Group,INV-925386,PO-19872,Scheduled,2022-06-10,EQ-0702,Compressor,2022-05-11,Double Declining Balance,10,29589.36
Evergreen Facilities,INV-196424,PO-85784,Paid,2022-01-01,FF-0703,Conference Table,2021-12-22,MACRS,5,26511.69
Horizon Telecom,INV-934301,PO-20048,Overdue,2022-02-03,BL-0704,Parking Lot,2022-01-24,MACRS,10,9161.33
Keystone Legal Services,INV-755322,PO-77550,Partial,2022-06-27,BL-0705,Warehouse Expansion,2022-05-13,MACRS,5,12039.65
Atlas Cloud Services,INV-878261,PO-71249,Overdue,2019-04-02,BL-0706,Warehouse Expansion,2019-03-18,MACRS,5,33758.01
Keystone Legal Services,INV-481969,PO-70619,Pending,2026-01-05,BL-0707,Parking Lot,2025-11-21,Double Declining Balance,20,2078.73
Pinnacle Manufacturing,INV-167557,PO-93090,Pending,2026-10-08,EQ-0708,HVAC Unit,2026-09-08,Units of Production,7,39442.87
Vanguard Equipment Co,INV-301238,PO-13631,Pending,2022-04-05,FF-0709,Chair,2022-03-21,Sum-of-Years-Digits,10,4224.2
BlueSky Marketing,INV-130557,PO-43868,Overdue,2024-07-26,EQ-0710,Generator,2024-06-11,MACRS,5,3842.99
Atlas Cloud Services,INV-429153,PO-88852,Overdue,2026-04-03,EQ-0711,Generator,2026-03-24,Straight-Line,3,41660.91
Quantum Electronics,INV-217369,PO-84838,Scheduled,2023-08-25,IT-0712,Printer,2023-07-26,Straight-Line,20,15739.5
Redwood Analytics,INV-945872,PO-51079,Overdue,2026-07-13,EQ-0713,Generator,2026-06-13,MACRS,5,10780.12
Oasis Water Services,INV-387883,PO-67602,Partial,2023-06-01,EQ-0714,Compressor,2023-05-17,Sum-of-Years-Digits,5,2173.78
Crestview Landscaping,INV-672255,PO-65545,Partial,2025-08-21,EQ-0715,CNC Machine,2025-08-11,Double Declining Balance,20,16682.36
Vanguard Equipment Co,INV-735242,PO-14562,Paid,2020-09-15,EQ-0716,CNC Machine,2020-08-16,Double Declining Balance,7,884.38
Vanguard Equipment Co,INV-347864,PO-67986,Partial,2025-04-27,FF-0717,Filing Cabinet,2025-03-13,Straight-Line,20,4232.04
Bridgeport Packaging,INV-268010,PO-67520,Overdue,2023-06-28,FF-0718,Desk,2023-05-29,Units of Production,5,6399.61
Keystone Legal Services,INV-982023,PO-53610,Partial,2019-06-18,IT-0719,Printer,2019-05-19,Straight-Line,10,21681.8
Harbor Freight Supplies,INV-952941,PO-81791,Overdue,2020-11-17,BL-0720,Office Renovation,2020-10-18,Units of Production,7,15551.1
Trident HVAC Systems,INV-309794,PO-92352,Overdue,2019-05-03,VH-0721,Company Car,2019-04-23,Sum-of-Years-Digits,20,1825.44
Apex Janitorial,INV-970969,PO-95089,Pending,2019-12-13,VH-0722,Van,2019-12-03,MACRS,15,36657.76
Silverline Insurance,INV-820861,PO-87728,Overdue,2023-09-07,EQ-0723,HVAC Unit,2023-08-08,Sum-of-Years-Digits,20,3162.94
Meridian Consulting,INV-975224,PO-84762,Pending,2020-01-26,FF-0724,Chair,2019-12-12,Straight-Line,10,24543.12
Acme Office Supplies,INV-276953,PO-16525,Partial,2025-04-21,IT-0725,Printer,2025-04-06,MACRS,5,10727.3
Ironclad Security,INV-223050,PO-11850,Scheduled,2025-10-25,VH-0726,Truck,2025-09-25,Units of Production,7,8662.33
Phoenix Data Centers,INV-952924,PO-44891,Overdue,2024-03-18,IT-0727,Server,2024-02-02,Units of Production,20,4224.0
Nexus Software,INV-538651,PO-33641,Partial,2020-08-01,VH-0728,Van,2020-06-17,Double Declining Balance,7,28951.76
Acme Office Supplies,INV-778675,PO-70052,Paid,2022-05-03,VH-0729,Company Car,2022-04-03,Straight-Line,5,13385.94
Pacific Fleet Services,INV-871861,PO-88275,Overdue,2020-07-29,EQ-0730,Compressor,2020-06-29,Straight-Line,20,15787.91
Greenfield Energy,INV-735829,PO-97921,Scheduled,2025-04-10,IT-0731,Monitor,2025-03-31,Straight-Line,5,23084.07
Acme Office Supplies,INV-686741,PO-15390,Scheduled,2021-12-19,FF-0732,Conference Table,2021-11-04,Double Declining Balance,20,6824.98
Vanguard Equipment Co,INV-656189,PO-66744,Pending,2021-01-10,FF-0733,Conference Table,2020-11-26,Sum-of-Years-Digits,5,2342.34
Greenfield Energy,INV-550977,PO-47083,Overdue,2022-07-17,VH-0734,Company Car,2022-07-07,MACRS,7,20457.31
Harbor Freight Supplies,INV-900771,PO-29826,Scheduled,2022-01-15,EQ-0735,Compressor,2021-12-16,Units of Production,7,38575.12
TechVault Solutions,INV-271499,PO-71228,Partial,2021-02-27,IT-0736,Server,2021-02-12,Straight-Line,5,1193.44
Quantum Electronics,INV-616935,PO-24744,Pending,2024-07-30,EQ-0737,CNC Machine,2024-07-20,Straight-Line,20,18112.99
Sterling Furniture,INV-386042,PO-83825,Scheduled,2020-02-03,FF-0738,Chair,2020-01-19,Double Declining Balance,5,24894.7
Apex Janitorial,INV-198886,PO-53077,Paid,2019-02-01,EQ-0739,Generator,2019-01-17,Sum-of-Years-Digits,5,25179.41
Silverline Insurance,INV-977634,PO-52406,Pending,2026-08-29,EQ-0740,CNC Machine,2026-08-19,Straight-Line,15,47028.13
Summit Logistics,INV-145976,PO-96005,Scheduled,2024-04-14,EQ-0741,CNC Machine,2024-02-29,Units of Production,15,8800.24
Horizon Telecom,INV-158232,PO-19269,Scheduled,2025-06-04,VH-0742,Truck,2025-05-20,MACRS,20,7353.57
Nexus Software,INV-193520,PO-12688,Pending,2020-02-29,FF-0743,Chair,2020-01-15,Double Declining Balance,5,36429.42
Nexus Software,INV-871635,PO-50645,Scheduled,2023-08-06,VH-0744,Truck,2023-07-07,Double Declining Balance,7,21980.56
Sterling Furniture,INV-599583,PO-45190,Scheduled,2026-06-28,FF-0745,Chair,2026-06-18,MACRS,10,21438.36
Ironclad Security,INV-142402,PO-77284,Overdue,2020-02-19,FF-0746,Chair,2020-01-05,Units of Production,10,18888.46
Silverline Insurance,INV-940480,PO-72601,Overdue,2021-07-22,EQ-0747,Generator,2021-07-07,Double Declining Balance,7,14246.95
Pinnacle Manufacturing,INV-180250,PO-15910,Scheduled,2026-10-03,VH-0748,Company Car,2026-09-03,Straight-Line,7,8547.48
Redwood Analytics,INV-365688,PO-56590,Overdue,2023-11-21,IT-0749,Printer,2023-10-07,MACRS,20,25610.19
Summit Logistics,INV-291059,PO-61505,Paid,2024-09-03,IT-0750,Switch,2024-08-24,Straight-Line,20,9373.5
Ironclad Security,INV-377950,PO-54739,Pending,2026-12-25,FF-0751,Conference Table,2026-11-25,Double Declining Balance,20,17006.19
Atlas Cloud Services,INV-222346,PO-11743,Pending,2019-12-17,IT-0752,Printer,2019-11-17,Units of Production,15,264.36
BlueSky Marketing,INV-746703,PO-57281,Partial,2026-11-18,BL-0753,Parking Lot,2026-10-04,Sum-of-Years-Digits,10,11404.43
Summit Logistics,INV-297364,PO-13514,Pending,2020-06-11,IT-0754,Server,2020-05-27,Units of Production,3,11230.92
Metro Print & Copy,INV-255362,PO-72126,Partial,2020-09-01,EQ-0755,Compressor,2020-08-17,Straight-Line,3,13134.57
Greenfield Energy,INV-713654,PO-41801,Pending,2020-11-26,EQ-0756,HVAC Unit,2020-11-11,Sum-of-Years-Digits,10,1010.28
Apex Janitorial,INV-552762,PO-64484,Partial,2023-06-03,FF-0757,Desk,2023-05-24,MACRS,3,29363.11
Catalyst Training Group,INV-859813,PO-90149,Partial,2025-04-19,IT-0758,Printer,2025-03-20,Double Declining Balance,10,16247.29
Trident HVAC Systems,INV-779792,PO-64675,Partial,2019-09-16,EQ-0759,CNC Machine,2019-09-06,Straight-Line,15,1546.36
Pacific Fleet Services,INV-301537,PO-71504,Overdue,2026-01-24,EQ-0760,HVAC Unit,2025-12-25,Units of Production,3,3988.28
Cornerstone IT,INV-983390,PO-96108,Partial,2024-09-25,BL-0761,Parking Lot,2024-09-10,Double Declining Balance,7,33974.05
Quantum Electronics,INV-269896,PO-91506,Pending,2022-05-31,EQ-0762,CNC Machine,2022-04-16,Sum-of-Years-Digits,10,41114.01
Trident HVAC Systems,INV-205805,PO-64523,Partial,2020-02-03,VH-0763,Van,2019-12-20,Sum-of-Years-Digits,5,5842.41
Cornerstone IT,INV-283201,PO-75991,Paid,2021-05-17,IT-0764,Monitor,2021-05-07,Straight-Line,7,14259.23
Horizon Telecom,INV-370346,PO-54606,Overdue,2023-11-09,BL-0765,Office Renovation,2023-10-30,Straight-Line,3,12359.87
Phoenix Data Centers,INV-559094,PO-69917,Paid,2025-04-30,VH-0766,Truck,2025-03-31,Straight-Line,20,2592.44
Keystone Legal Services,INV-223794,PO-36920,Overdue,2025-11-15,BL-0767,Office Renovation,2025-11-05,Double Declining Balance,15,2111.5
Oasis Water Services,INV-778526,PO-57675,Overdue,2022-05-26,BL-0768,Warehouse Expansion,2022-04-11,Double Declining Balance,20,14840.9
Greenfield Energy,INV-457900,PO-47585,Scheduled,2021-05-21,EQ-0769,Generator,2021-04-06,Double Declining Balance,5,37588.86
Summit Logistics,INV-889794,PO-79422,Partial,2022-01-24,EQ-0770,CNC Machine,2021-12-25,Double Declining Balance,20,15177.82
Pinnacle Manufacturing,INV-131208,PO-68009,Pending,2023-12-07,EQ-0771,HVAC Unit,2023-10-23,Straight-Line,15,31806.61
Trident HVAC Systems,INV-272306,PO-66894,Paid,2024-10-30,IT-0772,Monitor,2024-10-20,Units of Production,7,20871.49
Phoenix Data Centers,INV-645027,PO-48761,Partial,2019-06-16,BL-0773,Office Renovation,2019-06-01,Units of Production,20,31849.71
Quantum Electronics,INV-653429,PO-90006,Pending,2026-09-19,FF-0774,Filing Cabinet,2026-08-20,Units of Production,3,19983.9
BlueSky Marketing,INV-462021,PO-95033,Partial,2026-04-06,BL-0775,Parking Lot,2026-03-22,Double Declining Balance,15,19940.66
Quantum Electronics,INV-876000,PO-26515,Scheduled,2022-05-30,IT-0776,Router,2022-05-20,MACRS,7,16310.54
Evergreen Facilities,INV-766564,PO-30975,Paid,2021-06-04,BL-0777,Parking Lot,2021-05-25,Straight-Line,7,13868.25
Quantum Electronics,INV-215806,PO-17857,Overdue,2025-02-19,VH-0778,Forklift,2025-01-20,Sum-of-Years-Digits,20,22046.17
Metro Print & Copy,INV-412434,PO-85030,Paid,2024-10-09,IT-0779,Laptop,2024-09-09,Units of Production,20,16990.33
Horizon Telecom,INV-849579,PO-85073,Pending,2021-09-09,FF-0780,Filing Cabinet,2021-08-25,Units of Production,7,29405.9
Redwood Analytics,INV-846209,PO-65796,Partial,2021-10-21,FF-0781,Chair,2021-10-11,Straight-Line,7,7737.51
Summit Logistics,INV-809699,PO-78977,Partial,2019-10-27,VH-0782,Company Car,2019-09-12,MACRS,5,7248.5
Granite Construction,INV-822487,PO-74165,Partial,2024-12-10,FF-0783,Conference Table,2024-10-26,Double Declining Balance,20,22241.06
Pinnacle Manufacturing,INV-654844,PO-25474,Pending,2024-09-17,EQ-0784,HVAC Unit,2024-09-02,Units of Production,5,23514.52
Pacific Fleet Services,INV-215695,PO-25842,Overdue,2019-05-29,BL-0785,Warehouse Expansion,2019-05-14,MACRS,3,28136.39
Evergreen Facilities,INV-609529,PO-13667,Pending,2019-06-29,IT-0786,Monitor,2019-06-14,Double Declining Balance,7,9421.14
Keystone Legal Services,INV-875590,PO-74067,Paid,2025-09-26,IT-0787,Monitor,2025-08-12,Straight-Line,7,4416.32
Granite Construction,INV-574348,PO-54279,Partial,2022-12-09,IT-0788,Printer,2022-11-29,Units of Production,10,14538.13
Harbor Freight Supplies,INV-863220,PO-52626,Paid,2025-10-31,VH-0789,Company Car,2025-10-16,MACRS,10,20585.98
Silverline Insurance,INV-803011,PO-68077,Overdue,2026-02-12,EQ-0790,Compressor,2025-12-29,Straight-Line,10,11720.28
Crestview Landscaping,INV-229794,PO-94399,Scheduled,2020-11-19,BL-0791,Parking Lot,2020-11-09,Straight-Line,20,10928.67
Meridian Consulting,INV-119570,PO-25765,Scheduled,2025-12-19,BL-0792,Parking Lot,2025-12-09,Double Declining Balance,5,23941.77
Acme Office Supplies,INV-435996,PO-62664,Scheduled,2022-02-15,VH-0793,Company Car,2022-01-31,Straight-Line,3,27570.47
Pacific Fleet Services,INV-432799,PO-60070,Overdue,2019-05-06,EQ-0794,Compressor,2019-04-06,Straight-Line,10,1217.92
Greenfield Energy,INV-261719,PO-50212,Partial,2020-02-26,FF-0795,Chair,2020-02-11,Double Declining Balance,5,11152.76
TechVault Solutions,INV-203540,PO-51948,Pending,2025-12-21,VH-0796,Truck,2025-11-21,Units of Production,20,1499.63
Quantum Electronics,INV-726004,PO-86812,Pending,2022-09-19,EQ-0797,Generator,2022-08-20,Units of Production,3,4606.48
Redwood Analytics,INV-526850,PO-18579,Partial,2024-10-12,IT-0798,Monitor,2024-08-28,Straight-Line,3,10050.67
Ironclad Security,INV-358281,PO-82706,Pending,2026-02-22,IT-0799,Monitor,2026-02-07,Sum-of-Years-Digits,15,23319.1
Apex Janitorial,INV-249282,PO-58929,Scheduled,2023-09-08,IT-0800,Switch,2023-07-25,Double Declining Balance,15,9013.71
Keystone Legal Services,INV-969659,PO-91360,Overdue,2021-11-15,BL-0801,Warehouse Expansion,2021-10-01,Double Declining Balance,3,130.99
Acme Office Supplies,INV-983360,PO-92864,Pending,2019-10-19,FF-0802,Filing Cabinet,2019-09-04,MACRS,20,20019.41
Harbor Freight Supplies,INV-415242,PO-21759,Partial,2024-10-21,IT-0803,Server,2024-09-21,Straight-Line,20,18893.02
Harbor Freight Supplies,INV-433765,PO-99404,Overdue,2020-08-25,EQ-0804,Compressor,2020-07-26,Sum-of-Years-Digits,15,25718.53
Phoenix Data Centers,INV-582134,PO-88579,Overdue,2027-01-22,FF-0805,Chair,2026-12-08,Straight-Line,20,8587.05
Bridgeport Packaging,INV-805383,PO-32745,Partial,2026-10-19,IT-0806,Router,2026-10-04,MACRS,10,300.24
Quantum Electronics,INV-132450,PO-98029,Partial,2026-12-07,EQ-0807,Generator,2026-10-23,Straight-Line,20,10552.33
Sterling Furniture,INV-488477,PO-35295,Partial,2023-04-21,EQ-0808,Compressor,2023-03-22,Straight-Line,20,186.22
Cornerstone IT,INV-417905,PO-38986,Pending,2019-04-22,FF-0809,Chair,2019-03-23,Units of Production,3,30460.1
Sterling Furniture,INV-769448,PO-61915,Paid,2019-06-30,EQ-0810,Compressor,2019-05-31,Sum-of-Years-Digits,3,10257.89
Apex Janitorial,INV-815531,PO-89032,Scheduled,2024-09-25,VH-0811,Van,2024-08-11,Double Declining Balance,20,26185.67
Summit Logistics,INV-339038,PO-78561,Overdue,2025-08-21,IT-0812,Server,2025-08-06,Double Declining Balance,7,33224.84
Crestview Landscaping,INV-575976,PO-10256,Partial,2026-08-19,BL-0813,Parking Lot,2026-08-09,Straight-Line,7,23980.54
Crestview Landscaping,INV-619647,PO-57378,Scheduled,2022-09-30,EQ-0814,CNC Machine,2022-08-16,Straight-Line,3,22841.06
Quantum Electronics,INV-510893,PO-35507,Overdue,2021-07-18,FF-0815,Conference Table,2021-07-08,Straight-Line,15,11513.66
Quantum Electronics,INV-272471,PO-53152,Overdue,2025-06-10,VH-0816,Company Car,2025-05-31,Straight-Line,3,21076.78
Metro Print & Copy,INV-935946,PO-92090,Overdue,2026-01-15,IT-0817,Printer,2026-01-05,Sum-of-Years-Digits,10,11381.48
Cornerstone IT,INV-932685,PO-41030,Paid,2020-05-01,VH-0818,Forklift,2020-03-17,MACRS,3,21596.86
Catalyst Training Group,INV-495727,PO-51062,Paid,2023-12-12,EQ-0819,Generator,2023-12-02,Double Declining Balance,3,3076.62
TechVault Solutions,INV-686424,PO-16842,Overdue,2023-12-26,FF-0820,Conference Table,2023-12-16,Units of Production,3,4123.4
Nexus Software,INV-548901,PO-91292,Scheduled,2020-03-13,VH-0821,Truck,2020-01-28,Straight-Line,10,12099.76
Horizon Telecom,INV-112885,PO-88010,Paid,2026-04-30,EQ-0822,CNC Machine,2026-04-20,MACRS,15,3373.4
Keystone Legal Services,INV-751009,PO-68277,Pending,2021-03-19,BL-0823,Warehouse Expansion,2021-03-04,Double Declining Balance,7,13548.68
Pinnacle Manufacturing,INV-783362,PO-56890,Overdue,2019-07-10,VH-0824,Forklift,2019-06-30,MACRS,15,14570.18
Quantum Electronics,INV-486746,PO-11059,Scheduled,2025-02-09,VH-0825,Company Car,2025-01-25,MACRS,7,16093.58
Silverline Insurance,INV-157259,PO-65320,Overdue,2026-08-25,IT-0826,Server,2026-08-10,Double Declining Balance,15,37727.16
Meridian Consulting,INV-825447,PO-71263,Scheduled,2026-03-23,IT-0827,Monitor,2026-03-08,Sum-of-Years-Digits,5,21307.56
Crestview Landscaping,INV-576370,PO-15530,Partial,2025-07-27,BL-0828,Warehouse Expansion,2025-06-27,Double Declining Balance,10,6441.36
